,Heroes,(<2K MMR) PickRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%),Heroes.1,(>2K MMR) KDA Ratio,(>2K MMR) Avg Match,(2K-3K MMR) KDA Ratio,(2K-3K) Avg Match,(3K-4K MMR) KDA Ratio,(3K-4K MMR) Avg Match,(4K-5K MMR) KDA Ratio,(4K-5K MMR) Avg Match,(<5K MMR) KDA Ratio,(<5K MMR) Avg Match
0,Anti-Mage,11.16%,9.65%,51.53%,7.91%,51.77%,6.48%,51.03%,4.45%,50.24%,Anti-Mage,3.21,41:30,3.4,40:56,3.42,40:04,3.41,39:01,3.45,37:18
1,Axe,17.36%,16.18%,51.01%,14.50%,49.92%,13.20%,49.10%,10.88%,48.68%,Axe,2.57,42:22,2.56,41:46,2.56,40:55,2.57,39:45,2.56,37:42
2,Bane,2.31%,2.38%,49.05%,2.71%,50.76%,3.19%,50.41%,4.88%,51.95%,Bane,2.35,41:51,2.43,41:27,2.43,40:36,2.39,39:37,2.29,36:48
3,Bloodseeker,4.71%,3.28%,48.43%,2.77%,48.97%,2.57%,48.77%,2.44%,49.23%,Bloodseeker,2.79,42:22,3.02,42:07,3.13,41:28,3.23,40:19,3.41,37:56
4,Crystal Maiden,13.83%,10.69%,48.85%,8.37%,48.03%,6.88%,46.95%,4.51%,46.99%,Crystal Maiden,2.2,41:35,2.18,41:14,2.17,40:30,2.17,39:25,2.15,37:22
5,Drow Ranger,13.02%,10.03%,49.36%,7.63%,48.20%,5.81%,47.66%,3.23%,46.26%,Drow Ranger,2.75,42:18,3.0,42:06,3.02,41:22,3.02,40:27,2.94,38:21
6,Earthshaker,12.59%,13.06%,48.87%,13.97%,49.99%,13.97%,50.70%,13.28%,51.36%,Earthshaker,2.6,42:21,2.74,42:02,2.81,41:13,2.82,40:14,2.85,38:04
7,Juggernaut,11.23%,10.11%,49.16%,8.23%,49.03%,6.25%,48.04%,3.40%,47.25%,Juggernaut,2.73,41:07,3.07,40:36,3.2,39:44,3.25,38:32,3.27,36:33
8,Mirana,6.27%,6.81%,47.46%,6.05%,47.51%,5.11%,46.99%,3.51%,47.86%,Mirana,2.95,41:53,3.1,41:21,3.15,40:35,3.15,39:26,3.14,37:13
9,Morphling,7.50%,6.56%,45.41%,6.52%,45.30%,7.15%,45.15%,8.15%,45.42%,Morphling,2.96,40:32,3.16,40:03,3.28,39:26,3.39,38:39,3.56,36:32
10,Shadow Fiend,15.70%,13.15%,49.67%,11.33%,48.92%,9.60%,48.36%,7.02%,46.48%,Shadow Fiend,2.46,40:42,2.59,40:04,2.63,39:19,2.64,38:04,2.59,36:06
11,Phantom Lancer,8.39%,8.05%,53.99%,7.65%,53.66%,7.27%,53.01%,6.83%,51.25%,Phantom Lancer,3.34,41:51,3.75,41:53,3.91,41:24,3.98,40:25,3.93,38:22
12,Puck,4.41%,6.25%,46.07%,7.62%,46.48%,8.51%,46.79%,8.95%,47.68%,Puck,3.0,41:41,3.37,41:20,3.51,40:34,3.59,39:37,3.72,37:19
13,Pudge,29.72%,29.98%,47.85%,29.74%,47.59%,29.53%,47.43%,23.49%,47.59%,Pudge,2.26,41:23,2.27,40:58,2.23,40:14,2.19,39:12,2.13,37:10
14,Razor,3.52%,3.26%,46.97%,3.48%,46.04%,3.61%,46.69%,3.95%,46.65%,Razor,2.68,41:57,2.8,41:37,2.82,40:38,2.83,39:39,2.79,37:09
15,Sand King,5.65%,4.80%,53.89%,4.50%,53.09%,4.03%,51.33%,3.21%,50.96%,Sand King,2.8,42:30,2.83,42:11,2.87,41:30,2.82,40:22,2.82,38:16
16,Storm Spirit,5.61%,5.48%,45.37%,5.45%,45.84%,5.27%,46.69%,5.17%,47.76%,Storm Spirit,3.04,42:01,3.26,41:31,3.34,40:44,3.36,39:34,3.39,37:31
17,Sven,6.54%,5.72%,45.07%,5.61%,45.63%,5.51%,45.83%,6.08%,45.97%,Sven,2.56,41:31,2.92,41:12,3.15,40:31,3.29,39:24,3.44,36:56
18,Tiny,3.47%,3.15%,43.02%,3.08%,43.27%,3.09%,43.76%,3.26%,45.74%,Tiny,2.48,41:27,2.64,41:06,2.69,40:14,2.72,39:20,2.71,36:48
19,Vengeful Spirit,8.78%,10.98%,51.25%,12.68%,51.17%,14.02%,50.66%,17.14%,50.14%,Vengeful Spirit,2.19,41:00,2.16,40:37,2.12,39:53,2.09,38:50,2.04,36:25
20,Windranger,8.83%,7.82%,46.78%,7.18%,47.14%,6.52%,48.06%,5.59%,47.62%,Windranger,2.88,42:29,2.95,41:57,3.01,41:05,3.07,40:00,3.04,37:37
21,Zeus,10.88%,11.32%,53.53%,11.24%,53.18%,10.96%,52.16%,10.12%,52.41%,Zeus,4.01,42:54,4.45,42:35,4.6,41:56,4.62,40:56,4.55,38:37
22,Kunkka,9.80%,13.46%,55.70%,16.51%,55.93%,18.60%,55.86%,20.84%,55.24%,Kunkka,3.25,42:34,3.56,42:01,3.63,41:16,3.66,40:17,3.68,37:52
23,Lina,12.12%,12.65%,47.75%,14.06%,48.37%,14.86%,48.57%,14.29%,48.23%,Lina,2.49,42:08,2.79,41:58,2.92,41:23,3.01,40:27,3.03,38:11
24,Lion,19.47%,15.92%,45.14%,12.34%,45.13%,9.74%,45.56%,6.82%,46.80%,Lion,2.0,41:53,2.01,41:29,2.03,40:40,2.05,39:40,2.02,37:36
25,Shadow Shaman,14.78%,10.82%,51.80%,8.31%,52.31%,6.91%,51.55%,5.26%,52.57%,Shadow Shaman,2.03,41:30,2.01,41:04,2.03,40:11,2.01,39:10,1.98,36:57
26,Slardar,10.38%,9.25%,54.63%,8.91%,54.99%,8.61%,55.11%,7.51%,53.98%,Slardar,2.67,41:17,2.8,40:45,2.91,39:54,2.98,38:53,2.99,36:50
27,Tidehunter,5.10%,5.86%,47.26%,5.81%,46.29%,5.64%,46.10%,5.66%,46.73%,Tidehunter,2.82,41:35,2.96,41:11,2.99,40:30,3.0,39:17,2.98,37:07
28,Witch Doctor,25.51%,25.19%,55.70%,23.51%,54.29%,21.22%,53.12%,15.16%,52.06%,Witch Doctor,2.36,42:17,2.29,41:49,2.23,41:04,2.19,40:04,2.13,38:05
29,Lich,8.95%,9.55%,52.44%,9.74%,51.52%,9.49%,50.63%,7.51%,49.46%,Lich,2.47,42:15,2.49,41:52,2.45,41:11,2.41,40:07,2.31,38:08
30,Riki,8.30%,5.90%,52.81%,4.82%,51.94%,4.03%,51.83%,3.21%,49.96%,Riki,3.41,42:14,3.5,41:56,3.48,41:15,3.42,40:16,3.29,38:02
31,Enigma,4.07%,2.70%,46.88%,2.01%,46.64%,1.52%,47.45%,1.44%,49.58%,Enigma,2.03,42:07,2.16,41:38,2.22,40:56,2.26,39:39,2.29,37:20
32,Tinker,7.65%,6.64%,51.35%,6.32%,52.30%,6.41%,52.76%,6.18%,52.99%,Tinker,3.49,42:16,3.62,41:46,3.63,40:58,3.62,39:55,3.51,37:54
33,Sniper,19.34%,15.97%,49.77%,11.61%,49.23%,7.83%,47.56%,3.85%,48.02%,Sniper,3.13,42:31,3.29,42:13,3.34,41:33,3.29,40:38,3.23,38:14
34,Necrophos,15.78%,16.92%,54.85%,17.66%,53.75%,17.89%,52.91%,16.57%,50.86%,Necrophos,3.19,41:17,3.23,40:53,3.24,40:09,3.21,39:10,3.13,37:08
35,Warlock,8.82%,12.04%,53.53%,13.32%,52.28%,13.66%,50.65%,12.28%,48.32%,Warlock,2.98,41:47,3.03,41:27,2.94,40:47,2.84,39:47,2.69,37:42
36,Beastmaster,1.11%,1.06%,42.67%,0.98%,42.57%,1.03%,44.48%,1.48%,47.81%,Beastmaster,2.2,40:20,2.27,39:33,2.34,38:34,2.42,37:32,2.61,34:47
37,Queen of Pain,5.64%,7.05%,48.51%,7.86%,48.94%,8.29%,49.80%,8.39%,49.40%,Queen of Pain,3.16,42:15,3.49,41:56,3.68,41:16,3.79,40:13,3.85,37:55
38,Venomancer,6.73%,6.91%,51.86%,6.34%,52.17%,5.96%,51.84%,5.50%,51.32%,Venomancer,2.47,42:17,2.53,41:53,2.55,41:04,2.55,39:58,2.52,37:43
39,Faceless Void,12.41%,11.47%,47.87%,10.87%,48.99%,10.75%,49.65%,11.57%,50.94%,Faceless Void,3.08,42:28,3.44,42:06,3.65,41:20,3.83,40:21,4.06,38:00
40,Wraith King,14.24%,16.08%,56.40%,16.93%,55.24%,17.26%,53.56%,16.87%,51.08%,Wraith King,3.54,41:01,3.75,40:42,3.75,40:02,3.66,39:00,3.52,36:48
41,Death Prophet,2.57%,2.12%,47.75%,1.89%,48.22%,1.88%,48.16%,1.95%,48.62%,Death Prophet,2.7,41:27,2.94,41:04,3.05,40:16,3.06,39:11,3.11,37:03
42,Phantom Assassin,21.64%,19.83%,46.88%,18.21%,45.60%,16.47%,45.02%,12.94%,43.95%,Phantom Assassin,2.69,41:10,2.93,40:47,3.02,40:03,3.08,38:59,3.1,36:51
43,Pugna,7.63%,7.62%,49.42%,8.27%,50.53%,9.24%,50.86%,12.43%,51.49%,Pugna,2.48,41:21,2.69,41:04,2.75,40:20,2.73,39:23,2.61,36:51
44,Templar Assassin,7.36%,6.51%,45.87%,6.95%,47.30%,7.89%,48.33%,10.24%,49.62%,Templar Assassin,2.89,40:55,3.27,40:29,3.47,39:44,3.58,38:45,3.74,36:19
45,Viper,7.43%,5.61%,50.63%,4.46%,51.08%,3.87%,51.00%,3.16%,50.83%,Viper,2.7,42:43,2.82,42:19,2.84,41:27,2.79,40:21,2.69,38:05
46,Luna,7.39%,9.48%,50.37%,11.60%,50.14%,13.68%,49.94%,16.16%,49.68%,Luna,2.71,40:19,2.98,39:52,3.06,39:08,3.1,38:04,3.13,35:54
47,Dragon Knight,3.36%,2.74%,46.53%,2.22%,46.49%,1.76%,45.69%,1.31%,44.43%,Dragon Knight,2.61,41:36,2.72,40:56,2.79,40:11,2.84,38:59,2.82,37:12
48,Dazzle,14.21%,15.59%,49.97%,15.78%,50.02%,15.17%,50.59%,13.15%,50.27%,Dazzle,2.22,40:51,2.25,40:35,2.3,40:00,2.37,39:04,2.43,37:04
49,Clockwerk,3.21%,3.88%,46.85%,4.12%,46.99%,4.23%,46.43%,4.01%,47.76%,Clockwerk,2.56,42:15,2.56,41:41,2.52,40:59,2.43,39:54,2.42,37:41
50,Leshrac,1.61%,1.47%,45.51%,1.33%,46.66%,1.34%,47.90%,1.42%,47.54%,Leshrac,2.16,41:32,2.29,41:13,2.4,40:17,2.6,39:17,2.71,36:32
51,Nature's Prophet,19.77%,20.16%,49.09%,20.39%,49.87%,21.02%,50.33%,24.47%,50.27%,Nature's Prophet,2.41,41:24,2.53,41:01,2.59,40:15,2.64,39:12,2.64,36:51
52,Lifestealer,9.04%,9.52%,50.88%,10.01%,51.38%,10.43%,51.84%,10.19%,50.63%,Lifestealer,2.98,40:53,3.47,40:31,3.7,39:51,3.82,38:58,3.95,36:50
53,Dark Seer,1.50%,1.57%,49.63%,1.69%,48.72%,1.82%,50.81%,1.91%,49.35%,Dark Seer,2.77,42:04,2.95,41:40,3.07,40:49,3.18,40:09,3.27,37:24
54,Clinkz,6.92%,5.29%,52.10%,5.12%,51.96%,5.48%,52.71%,5.47%,51.40%,Clinkz,2.78,41:22,2.77,40:41,2.69,39:48,2.67,38:45,2.6,36:34
55,Omniknight,3.30%,3.73%,49.37%,3.71%,49.74%,3.71%,49.19%,3.95%,50.58%,Omniknight,2.43,40:57,2.51,40:25,2.59,39:40,2.6,38:44,2.74,36:33
56,Enchantress,6.05%,5.24%,42.01%,5.02%,40.83%,4.82%,40.28%,5.22%,40.45%,Enchantress,2.39,41:43,2.27,41:10,2.19,40:17,2.15,39:10,2.16,37:00
57,Huskar,6.70%,4.53%,50.32%,4.31%,52.32%,4.56%,52.95%,6.25%,52.32%,Huskar,2.05,40:27,2.16,39:36,2.26,38:22,2.34,37:10,2.33,34:39
58,Night Stalker,3.69%,4.48%,51.17%,4.96%,51.82%,5.19%,51.22%,5.22%,50.95%,Night Stalker,2.95,41:11,3.26,40:45,3.4,40:00,3.45,39:06,3.46,36:53
59,Broodmother,1.12%,0.86%,47.07%,0.86%,49.61%,1.06%,50.48%,1.43%,51.21%,Broodmother,1.99,38:40,2.33,37:58,2.6,36:56,2.83,36:26,3.03,33:57
60,Bounty Hunter,8.02%,6.01%,49.96%,5.51%,50.60%,5.69%,51.90%,6.95%,52.04%,Bounty Hunter,2.68,41:18,2.72,40:38,2.73,39:47,2.74,38:31,2.66,36:00
61,Weaver,10.53%,10.46%,49.35%,11.34%,49.80%,12.45%,49.89%,15.19%,49.76%,Weaver,3.49,42:06,3.71,41:38,3.78,40:50,3.77,39:52,3.73,37:18
62,Jakiro,12.35%,14.58%,53.72%,14.31%,53.20%,13.16%,52.88%,9.80%,51.68%,Jakiro,2.43,42:00,2.45,41:34,2.43,40:52,2.42,39:51,2.35,37:54
63,Batrider,0.85%,0.80%,39.54%,0.76%,39.84%,0.73%,41.42%,1.02%,45.91%,Batrider,2.16,41:36,2.3,40:58,2.42,40:16,2.56,39:16,2.88,36:44
64,Chen,1.03%,0.99%,49.51%,1.14%,52.18%,1.70%,52.20%,2.40%,55.32%,Chen,2.42,39:44,2.68,39:10,2.86,37:52,2.98,37:07,3.1,34:36
65,Spectre,15.72%,17.89%,55.03%,19.20%,54.15%,20.30%,53.23%,21.92%,52.88%,Spectre,4.46,42:36,4.73,42:06,4.86,41:17,4.95,40:16,5.07,37:51
66,Ancient Apparition,8.34%,9.93%,52.73%,10.92%,52.58%,11.81%,52.09%,12.96%,51.76%,Ancient Apparition,2.7,43:13,2.78,42:52,2.77,42:04,2.75,41:06,2.7,38:55
67,Doom,2.73%,2.65%,42.02%,2.55%,41.73%,2.52%,42.37%,2.75%,44.41%,Doom,2.19,42:16,2.26,41:50,2.28,40:54,2.33,39:57,2.34,37:23
68,Ursa,6.51%,6.38%,47.96%,6.62%,48.40%,6.83%,49.32%,6.55%,48.82%,Ursa,2.67,41:46,3.05,41:32,3.19,40:52,3.27,39:49,3.34,37:43
69,Spirit Breaker,24.72%,26.66%,52.39%,26.59%,52.38%,25.28%,52.44%,21.00%,52.53%,Spirit Breaker,3.35,41:42,3.41,41:12,3.43,40:24,3.41,39:15,3.37,37:01
70,Gyrocopter,3.65%,4.31%,46.52%,4.01%,46.75%,3.57%,47.38%,3.07%,47.65%,Gyrocopter,2.54,41:51,2.67,41:16,2.7,40:24,2.74,39:03,2.8,36:39
71,Alchemist,3.16%,3.04%,46.31%,3.02%,48.05%,2.93%,48.10%,3.05%,49.17%,Alchemist,2.41,41:12,2.65,40:34,2.81,39:57,2.87,39:00,2.9,36:38
72,Invoker,19.28%,20.00%,48.43%,20.14%,49.44%,20.12%,50.27%,19.82%,50.39%,Invoker,3.2,42:12,3.4,41:48,3.49,41:04,3.55,40:03,3.52,37:46
73,Silencer,12.38%,11.69%,52.38%,9.66%,51.52%,7.89%,51.01%,5.51%,49.83%,Silencer,2.56,42:04,2.6,41:37,2.59,40:44,2.59,39:36,2.52,37:35
74,Outworld Destroyer,7.12%,8.65%,52.36%,9.62%,52.31%,10.12%,51.44%,9.36%,50.52%,Outworld Destroyer,3.06,41:45,3.24,41:19,3.24,40:29,3.18,39:21,3.09,37:15
75,Lycan,0.93%,0.75%,49.16%,0.71%,49.32%,0.75%,52.30%,1.01%,52.34%,Lycan,2.96,39:24,3.41,38:52,3.66,37:50,4.05,37:18,4.38,34:47
76,Brewmaster,1.77%,1.92%,47.25%,2.50%,48.26%,3.20%,49.16%,4.90%,49.50%,Brewmaster,2.97,41:12,3.01,40:53,3.02,40:13,3.1,39:14,3.18,36:45
77,Shadow Demon,1.73%,2.22%,46.30%,2.76%,47.67%,3.15%,47.29%,3.66%,47.58%,Shadow Demon,2.29,42:13,2.43,41:47,2.46,41:07,2.44,40:10,2.35,37:35
78,Lone Druid,3.70%,4.35%,55.12%,5.35%,55.73%,6.42%,55.56%,8.39%,55.32%,Lone Druid,3.24,38:54,3.41,38:23,3.51,37:41,3.56,36:50,3.67,34:40
79,Chaos Knight,16.60%,17.50%,54.81%,19.34%,54.96%,21.43%,55.30%,25.04%,54.84%,Chaos Knight,3.09,40:34,3.27,40:15,3.35,39:33,3.42,38:38,3.48,36:30
80,Meepo,2.43%,1.75%,54.35%,1.70%,55.14%,1.79%,53.96%,2.03%,55.58%,Meepo,2.77,38:56,3.02,38:13,3.18,37:24,3.21,36:41,3.4,34:14
81,Treant Protector,9.74%,11.46%,53.78%,13.73%,54.97%,16.64%,55.04%,23.31%,56.70%,Treant Protector,2.74,41:11,2.86,40:46,2.92,39:56,2.93,38:57,2.97,36:26
82,Ogre Magi,14.35%,13.19%,51.92%,11.05%,51.23%,9.52%,50.23%,7.47%,48.13%,Ogre Magi,2.62,41:30,2.63,41:04,2.63,40:18,2.59,39:18,2.53,37:07
83,Undying,10.18%,9.11%,52.22%,7.78%,51.63%,7.01%,51.59%,6.20%,50.40%,Undying,2.75,41:27,2.77,40:55,2.72,40:04,2.67,38:57,2.56,36:52
84,Rubick,12.50%,15.28%,43.38%,16.32%,43.96%,16.08%,44.42%,14.46%,44.86%,Rubick,2.35,42:09,2.49,41:48,2.54,41:02,2.56,40:01,2.52,37:42
85,Disruptor,5.79%,7.01%,48.01%,6.86%,47.51%,6.19%,47.36%,4.84%,46.74%,Disruptor,2.6,41:54,2.6,41:21,2.56,40:35,2.51,39:26,2.45,37:16
86,Nyx Assassin,5.20%,6.05%,51.87%,6.58%,52.31%,6.82%,53.11%,7.21%,52.33%,Nyx Assassin,2.58,42:23,2.52,41:46,2.44,40:58,2.35,39:47,2.23,37:29
87,Naga Siren,3.30%,2.32%,50.51%,2.19%,50.72%,2.47%,52.10%,3.70%,52.33%,Naga Siren,3.33,41:06,3.73,40:39,3.96,39:48,4.17,38:57,4.33,36:53
88,Keeper of the Light,2.68%,2.67%,45.26%,2.80%,46.35%,3.17%,48.00%,4.35%,49.10%,Keeper of the Light,2.72,41:46,2.92,41:25,3.03,40:40,3.22,39:24,3.3,36:50
89,Io,4.28%,3.83%,50.62%,3.87%,51.33%,4.17%,52.26%,4.72%,54.52%,Io,2.67,39:03,2.69,38:33,2.73,37:44,2.76,36:46,2.88,34:20
90,Visage,1.08%,1.02%,52.22%,1.25%,54.41%,1.66%,55.45%,2.65%,54.45%,Visage,3.19,39:52,3.43,39:17,3.6,38:32,3.7,37:25,3.68,35:23
91,Slark,13.36%,12.31%,48.00%,10.98%,48.20%,10.24%,48.77%,10.05%,49.01%,Slark,2.74,41:17,2.91,41:02,3.03,40:13,3.15,39:05,3.39,36:47
92,Medusa,2.56%,2.01%,47.39%,1.37%,46.35%,0.97%,44.49%,0.61%,44.62%,Medusa,3.49,42:58,3.73,42:31,3.68,41:24,3.53,40:29,3.56,38:06
93,Troll Warlord,5.95%,4.22%,51.58%,3.96%,51.28%,4.00%,50.65%,3.99%,50.67%,Troll Warlord,2.49,40:52,2.75,40:25,2.91,39:40,2.99,38:37,3.11,35:58
94,Centaur Warrunner,6.74%,8.56%,51.39%,9.72%,51.10%,11.03%,50.71%,13.01%,51.01%,Centaur Warrunner,2.98,41:36,3.11,41:05,3.15,40:17,3.13,39:20,3.15,36:55
95,Magnus,5.56%,8.19%,45.36%,9.76%,46.24%,9.94%,46.87%,8.82%,46.80%,Magnus,2.5,41:23,2.69,41:00,2.76,40:15,2.8,39:17,2.81,37:17
96,Timbersaw,2.79%,2.45%,43.69%,2.38%,43.00%,2.43%,42.96%,2.51%,42.99%,Timbersaw,2.53,41:42,2.62,41:17,2.66,40:32,2.68,39:16,2.7,37:04
97,Bristleback,17.68%,16.91%,49.89%,17.06%,49.32%,17.66%,49.24%,19.60%,48.85%,Bristleback,2.68,41:48,2.64,41:17,2.64,40:30,2.64,39:21,2.65,37:02
98,Tusk,4.97%,6.20%,44.63%,7.43%,45.71%,8.41%,46.15%,10.00%,47.44%,Tusk,2.46,41:35,2.53,41:00,2.55,40:14,2.54,39:07,2.49,36:40
99,Skywrath Mage,11.32%,9.91%,49.77%,9.40%,49.55%,9.58%,49.56%,10.68%,49.22%,Skywrath Mage,2.49,42:06,2.54,41:34,2.58,40:46,2.59,39:41,2.55,37:34
100,Abaddon,3.21%,3.85%,54.41%,4.14%,53.87%,4.31%,54.05%,3.80%,53.19%,Abaddon,2.95,40:43,3.12,40:01,3.08,39:14,3.05,38:23,2.88,36:23
101,Elder Titan,1.25%,1.20%,50.71%,1.27%,51.35%,1.40%,52.58%,1.73%,51.25%,Elder Titan,2.46,42:35,2.71,42:15,2.8,41:37,2.84,40:36,2.92,38:25
102,Legion Commander,18.12%,16.45%,49.60%,15.07%,48.88%,14.05%,48.57%,12.77%,48.26%,Legion Commander,2.58,41:21,2.56,40:46,2.54,39:55,2.52,38:53,2.49,36:56
103,Techies,7.04%,6.14%,46.55%,5.21%,45.41%,4.22%,45.51%,3.09%,45.18%,Techies,2.03,43:08,2.04,42:44,2.04,41:54,2.03,40:46,2.05,38:26
104,Ember Spirit,3.41%,3.22%,42.00%,3.05%,43.01%,2.78%,44.08%,2.95%,44.94%,Ember Spirit,3.0,41:53,3.35,41:23,3.49,40:24,3.54,39:21,3.54,36:42
105,Earth Spirit,5.49%,7.54%,47.47%,9.34%,48.34%,10.38%,49.11%,12.19%,49.36%,Earth Spirit,2.59,41:21,2.78,41:01,2.89,40:22,2.99,39:22,3.09,37:02
106,Underlord,1.61%,1.69%,49.41%,1.51%,48.31%,1.27%,45.80%,0.92%,48.21%,Underlord,2.62,41:52,2.74,41:23,2.73,40:33,2.7,39:39,2.75,37:22
107,Terrorblade,3.06%,2.44%,41.62%,2.30%,41.96%,2.40%,42.19%,2.98%,44.01%,Terrorblade,2.37,41:24,2.72,41:07,2.94,40:40,3.11,39:56,3.27,37:06
108,Phoenix,4.90%,6.13%,48.63%,7.27%,48.95%,8.53%,49.32%,10.21%,49.18%,Phoenix,2.64,41:55,2.74,41:42,2.76,41:00,2.75,40:03,2.66,37:44
109,Oracle,3.38%,4.47%,52.70%,5.30%,53.33%,5.82%,54.14%,5.16%,53.93%,Oracle,2.79,40:44,2.9,40:13,2.87,39:36,2.84,38:46,2.79,36:54
110,Winter Wyvern,2.24%,2.21%,49.52%,2.31%,49.76%,2.49%,50.38%,2.58%,50.49%,Winter Wyvern,2.31,42:18,2.42,41:58,2.44,41:24,2.44,40:18,2.37,38:15
111,Arc Warden,6.71%,4.94%,55.34%,4.29%,55.02%,4.17%,55.19%,3.65%,54.47%,Arc Warden,3.42,41:33,3.68,41:14,3.7,40:33,3.67,39:48,3.51,37:48
112,Monkey King,7.43%,6.91%,45.70%,6.96%,45.98%,7.13%,46.55%,7.41%,47.94%,Monkey King,2.53,41:12,2.75,40:51,2.82,40:10,2.89,38:57,2.95,36:29
113,Dark Willow,10.53%,11.38%,47.06%,12.61%,46.76%,13.50%,46.85%,15.29%,47.11%,Dark Willow,2.58,42:22,2.73,42:06,2.79,41:24,2.78,40:21,2.72,37:57
114,Pangolier,3.92%,4.46%,42.13%,5.18%,42.79%,5.93%,43.52%,8.52%,47.39%,Pangolier,2.67,41:50,2.93,41:32,3.07,40:53,3.2,39:52,3.5,37:22
115,Grimstroke,9.76%,12.39%,50.75%,14.41%,50.69%,15.88%,50.65%,18.65%,50.38%,Grimstroke,2.56,41:40,2.69,41:19,2.72,40:37,2.71,39:39,2.66,37:09
116,Hoodwink,7.63%,7.17%,48.03%,6.31%,47.91%,5.40%,47.62%,4.26%,48.37%,Hoodwink,2.93,42:19,3.02,41:59,3.04,41:18,3.02,40:00,2.99,38:02
117,Void Spirit,3.82%,3.89%,48.59%,4.02%,48.51%,4.07%,48.14%,3.66%,47.80%,Void Spirit,3.2,41:18,3.49,40:54,3.54,40:02,3.56,39:04,3.54,36:43
118,Snapfire,5.08%,6.07%,43.92%,6.04%,44.25%,5.56%,44.09%,4.40%,44.08%,Snapfire,2.51,41:57,2.63,41:33,2.64,40:49,2.61,39:42,2.55,37:19
119,Mars,2.40%,2.93%,44.23%,3.20%,44.69%,3.21%,44.58%,3.02%,44.41%,Mars,2.57,41:46,2.76,41:23,2.84,40:36,2.85,39:35,2.84,37:27
120,Dawnbreaker,6.88%,8.54%,47.69%,9.86%,47.87%,10.65%,48.23%,12.17%,47.44%,Dawnbreaker,2.81,41:11,2.9,40:51,2.91,40:02,2.9,39:03,2.86,36:46
121,Marci,3.70%,3.75%,48.74%,4.19%,48.33%,4.78%,49.64%,5.79%,49.23%,Marci,2.34,40:20,2.45,39:48,2.45,38:54,2.49,37:55,2.49,35:37
122,Primal Beast,6.40%,7.89%,49.31%,9.62%,49.82%,11.25%,50.75%,15.97%,51.67%,Primal Beast,2.95,41:50,3.15,41:26,3.24,40:41,3.31,39:38,3.4,36:59
123,Muerta,12.27%,14.74%,51.18%,17.28%,50.75%,19.11%,50.16%,23.42%,50.01%,Muerta,2.74,42:24,2.95,41:57,3.0,41:17,2.99,40:13,2.93,37:39
